date,SQUAT,BENCH,DEADLIFT
02-01-2012,x,60,x
02-02-2012,x,x,x
02-03-2012,x,x,x
02-04-2012,130,x,x
02-06-2012,x,x,x
02-07-2012,x,x,x
02-08-2012,x,x,x
02-09-2012,x,x,x
02-11-2012,x,x,x
02-14-2012,x,x,x
02-15-2012,x,x,x
02-16-2012,x,x,x
02-18-2012,x,x,x
02-19-2012,x,x,x
02-21-2012,x,x,x
02-23-2012,x,x,x
02-27-2012,x,x,x
02-28-2012,x,x,x
02-29-2012,x,x,x
03-01-2012,x,x,x
03-04-2012,x,x,x
03-05-2012,x,x,x
03-06-2012,x,x,x
03-08-2012,x,x,210
03-10-2012,x,x,x
03-12-2012,x,x,x
03-13-2012,x,x,x
03-14-2012,x,x,x
03-15-2012,x,x,x
03-17-2012,105,x,x
03-18-2012,176,x,x
03-19-2012,x,x,x
03-20-2012,x,x,x
03-21-2012,100,x,x
03-24-2012,x,x,185
03-25-2012,176,x,x
03-28-2012,x,x,x
04-03-2012,x,x,x
04-04-2012,x,x,x
04-06-2012,x,x,x
04-07-2012,x,100,x
04-08-2012,110,x,x
04-09-2012,x,x,x
04-10-2012,x,x,x
04-13-2012,x,x,x
04-15-2012,x,x,x
04-17-2012,125,x,120
04-18-2012,x,x,x
04-19-2012,120,x,x
04-21-2012,x,x,x
04-23-2012,x,x,x
04-24-2012,x,x,x
04-25-2012,x,x,x
04-26-2012,x,x,x
04-27-2012,x,x,x
05-01-2012,x,x,x
05-02-2012,x,x,x
05-03-2012,100,x,x
05-04-2012,x,x,200
05-05-2012,x,x,120
05-10-2012,x,x,x
05-11-2012,x,x,x
05-12-2012,x,x,x
05-15-2012,x,x,x
05-17-2012,0,x,x
05-18-2012,x,x,210
05-19-2012,x,100,x
05-21-2012,x,x,x
05-23-2012,x,6,x
05-24-2012,x,6,x
05-25-2012,x,x,x
05-26-2012,x,x,x
05-27-2012,127,x,x
05-29-2012,130,x,x
05-30-2012,x,x,x
06-01-2012,132,x,x
06-02-2012,132,0,x
06-03-2012,x,x,x
06-05-2012,135,x,x
06-07-2012,x,x,x
06-08-2012,137,x,x
06-09-2012,137,x,x
06-10-2012,x,x,x
06-11-2012,x,x,x
06-12-2012,x,x,x
06-14-2012,x,90,x
06-16-2012,x,x,x
06-17-2012,x,x,x
06-18-2012,120,x,x
