date,BENCH,SQUAT,DEADLIFT
10-19-2013,x,x,x
10-26-2013,x,x,x
11-02-2013,45,x,x
11-06-2013,x,x,x
11-09-2013,x,x,x
11-11-2013,45,x,x
11-14-2013,x,x,x
11-15-2013,x,x,x
11-19-2013,x,145,45
11-20-2013,x,145,45
11-21-2013,x,x,x
11-24-2013,x,x,x
11-25-2013,x,145,x
11-27-2013,45,x,x
12-02-2013,x,x,x
12-03-2013,x,x,x
12-05-2013,135,x,x
12-06-2013,135,x,x
12-08-2013,x,145,x
12-10-2013,x,x,x
12-11-2013,45,x,x
12-14-2013,x,x,x
12-17-2013,45,145,x
12-18-2013,x,x,135
12-19-2013,x,x,135
12-21-2013,x,x,x
12-22-2013,x,145,x
12-24-2013,45,145,x
12-26-2013,45,x,135
12-27-2013,x,x,135
12-28-2013,x,x,x
12-29-2013,x,145,x
12-31-2013,x,x,x
01-01-2014,45,x,x
01-02-2014,x,x,x
01-03-2014,x,145,x
01-04-2014,x,145,x
01-05-2014,x,x,x
01-07-2014,135,x,x
01-08-2014,135,x,x
01-09-2014,x,145,x
01-13-2014,x,x,x
01-15-2014,x,x,x
01-16-2014,x,x,x
01-18-2014,x,x,x
01-21-2014,x,x,x
01-25-2014,45,145,x
01-28-2014,45,x,455
02-05-2014,135,x,x
02-07-2014,x,x,135
02-12-2014,45,x,x
02-13-2014,45,x,x
03-09-2014,45,x,x
03-10-2014,x,x,45
03-11-2014,x,x,45
03-19-2014,x,x,x
03-23-2014,245,x,x
03-24-2014,x,x,x
03-29-2014,x,x,x
04-01-2014,245,x,x
04-02-2014,x,x,x
04-14-2014,x,x,x
04-16-2014,x,x,x
04-23-2014,x,135,x
04-24-2014,225,x,x
04-28-2014,x,135,135
04-29-2014,x,135,x
04-30-2014,x,x,x
05-03-2014,x,x,x
05-05-2014,x,135,x
05-06-2014,x,x,x
05-07-2014,x,x,x
05-08-2014,x,x,x
05-09-2014,135,x,x
05-11-2014,x,135,x
05-13-2014,x,x,x
05-14-2014,275,x,x
06-02-2014,x,315,495
06-04-2014,275,x,x
06-06-2014,x,x,45
06-08-2014,x,x,x
06-09-2014,x,315,x
06-12-2014,135,x,x
06-14-2014,x,x,x
06-18-2014,x,315,135
06-19-2014,315,x,x
06-21-2014,x,x,x
06-24-2014,x,x,x
06-25-2014,x,x,x
06-26-2014,185,x,225
06-28-2014,x,x,x
07-04-2014,x,x,x
07-09-2014,195,225,495
07-14-2014,x,245,x
07-21-2014,205,x,x
07-22-2014,x,x,135
07-28-2014,275,x,x
08-02-2014,285,255,x
08-05-2014,x,x,x
08-11-2014,275,275,x
08-13-2014,225,x,x
08-15-2014,x,x,315
08-18-2014,x,x,x
08-19-2014,x,x,x
08-20-2014,225,x,x
08-29-2014,225,x,x
09-03-2014,x,x,x
09-06-2014,225,315,x
09-09-2014,x,x,x
09-13-2014,x,x,405
09-15-2014,275,x,x
